k,funds,weights,effective_bets,max_pair_corr,cum_return,cagr,ann_vol,max_drawdown,max_dd_duration_bdays,sharpe,sortino,calmar,cvar_95,ulcer_index,hit_rate_monthly,worst_rolling_12m,tracking_error,information_ratio,upside_capture,downside_capture,corr_with_dis,beta_vs_dis
4,GBF;GTF;HSHF;VUEF,0.100;0.300;0.100;0.500,3.1887373800206986,0.4818579805555785,0.5489996712137981,0.07305524229297111,0.11335667305676025,-0.20964656645027802,600.0,0.6788136423330163,0.8630149074851207,0.348468584675331,-0.017043269675015776,0.07466261118159544,0.647887323943662,-0.19556129889308882,0.06900830463758549,0.112778505113432,1.028558615877253,0.9877431759834141,0.7971773375093126,0.9108060632450098
5,CPF;EUEF;GBF;HKEF;NAEF,0.200;0.200;0.100;0.100;0.400,4.02649849079211,0.5925898063315813,0.5487869850790994,0.07303150130770453,0.1165335408176158,-0.2316840671489504,591.0,0.6634858782531303,0.7695271498767358,0.31522021434798253,-0.017839780960024757,0.0704060694770743,0.6619718309859155,-0.19430444035119443,0.03005831356986336,0.2712379712654246,1.1669669415611954,1.0576265026224174,0.9738985924981548,1.143901313446081
3,GEF;GTF;HKEF,0.600;0.300;0.100,2.341857574826918,0.4752333378617767,0.5479921806419157,0.07294275743928047,0.11255442442738957,-0.2283354531699271,597.0,0.6821670037689292,0.7887821989188879,0.31945436605062166,-0.016973516792032385,0.07219403702164538,0.6619718309859155,-0.19862751450902938,0.02880290839439616,0.2644007919379863,1.1002931757939716,1.014668748693428,0.970822216468641,1.1013520276266722
4,CPF;GEF;GTF;HSHF,0.200;0.600;0.100;0.100,3.3153864618946525,0.4818579805555785,0.5475878492849433,0.07289759716303301,0.11072910661993779,-0.22316331493914554,577.0,0.69117327130906,0.7986101099821127,0.3266558268455166,-0.016827928064102163,0.06552568746822227,0.6619718309859155,-0.1825623484204396,0.026917989436001433,0.27370529237243885,1.0443962000992142,0.9765034984639562,0.973056644858447,1.0859849250257625
3,GBF;GEF;VBLF,0.300;0.600;0.100,2.266285292055615,0.6389514888781089,0.5472698127586746,0.07286206830959929,0.11019734195075362,-0.2285576634747013,562.0,0.6936732740604649,0.8047047326002389,0.3187907471659303,-0.016686540194018586,0.07758351691773796,0.676056338028169,-0.21461872051289643,0.018707036960045234,0.3889204001844865,1.2115784747784535,1.087783121171527,0.9895119759513845,1.0990464603488976
4,CPF;GEF;HKEF;VEEF,0.300;0.500;0.100;0.100,2.8524816427160498,0.6849937141769201,0.5470836342953378,0.07284126688918513,0.10725530176802586,-0.22682218673867505,579.0,0.7095769842788152,0.7982375832049905,0.32113819171096586,-0.016291359732408667,0.06328161733333709,0.6619718309859155,-0.17808531050924092,0.02987241387379669,0.23233779910852773,1.0366373876679096,0.9738536895448862,0.9611086142366414,1.0389989696504067
5,CPF;GBF;GTF;HSIF;NAEF,0.200;0.100;0.100;0.100;0.500,4.171236262514702,0.4813209750200039,0.5468154506688365,0.07281129947235243,0.11194850557273306,-0.1957084141176446,582.0,0.6839741615500708,0.8259178421096668,0.3720396989604339,-0.01693646115077209,0.0648789125828922,0.6619718309859155,-0.17418546810032043,0.03548613595066695,0.20865846208824185,1.0328415877736976,0.9819807190415235,0.9506112114680217,1.072618073435387
4,GTF;HSHF;NAEF;VEEF,0.300;0.100;0.400;0.200,2.8688907291427737,0.5362326953282437,0.5463865642287198,0.07276336571662423,0.11806999609518647,-0.2315351886164072,591.0,0.6543086254611126,0.758342454970311,0.31426482579792203,-0.01791448288275657,0.07224387317258588,0.676056338028169,-0.1994175080907873,0.03587447919656178,0.2254754452586594,1.1685761642735113,1.0586742505253344,0.9602426796889015,1.1427321125766998
5,CPF;EUEF;GBF;HSIF;NAEF,0.200;0.200;0.100;0.100;0.400,4.027479857055294,0.5925898063315813,0.5462177011141534,0.07274448996099347,0.1163422208439928,-0.23049231134782955,586.0,0.6620849682518245,0.7680439233488412,0.3156048439777099,-0.01789383228537516,0.06902638843005214,0.6619718309859155,-0.19254779387259513,0.02978014807057863,0.264036058257109,1.1650750543914035,1.0574484468358893,0.9742912085850552,1.1424836969674488
5,CPF;GBF;GEF;GTF;HKEF,0.100;0.100;0.600;0.100;0.100,4.008297246387303,0.4752333378617767,0.5460338468386976,0.07272393650590825,0.11152401371741116,-0.22552108663532555,591.0,0.6855996857067224,0.7922606358918216,0.3224706726582294,-0.016815788504109076,0.07177460529619825,0.6619718309859155,-0.19894569338330637,0.026000882369195465,0.2805837881517217,1.1107627743088415,1.0235987911596858,0.976297533958013,1.0974240195980052
4,CNEF;CPF;GBF;GEF,0.100;0.200;0.100;0.600,3.7136880807945727,0.3805525458553727,0.5459321396854662,0.07271256556903705,0.1110781315964753,-0.22208817275974813,592.0,0.68780127427503,0.7960656258871935,0.3274040425723007,-0.01675758202434876,0.0721196771056822,0.6338028169014085,-0.1968874680894468,0.026386214561105955,0.2741688375351737,1.0804390873187706,1.0040018595272633,0.9747975360217693,1.0913570713861498
4,ANEF;CPF;NAEF;VEEF,0.100;0.400;0.400;0.100,2.90098097978942,0.5823645322140591,0.5457327456628338,0.0726902713448041,0.103032703438827,-0.20621915864268048,538.0,0.732832789742779,0.8545672699254881,0.3524903884937083,-0.01576535300456093,0.061305261298712534,0.6619718309859155,-0.15987747242959593,0.027313882666854323,0.23212887344416147,0.9770437832917056,0.9428375476402706,0.9642220030109838,1.0013271940087234
3,GEF;GTF;HSIF,0.600;0.300;0.100,2.33915451150961,0.4813209750200039,0.5454228966769696,0.07265562237526724,0.11213996266007445,-0.22713815195193232,591.0,0.6818833392747902,0.7872140521903155,0.31987414598073705,-0.016988514626159527,0.07073531001101308,0.6619718309859155,-0.19690733652592696,0.027735607486731716,0.26323452714426443,1.0976521033646611,1.013968855517915,0.9729370127319387,1.0996867957596335
4,ANEF;GBF;GTF;NAEF,0.100;0.100;0.300;0.500,3.1416047612438702,0.4399715178339985,0.5448369101154267,0.07259007829095276,0.114384489232645,-0.20940489683047592,570.0,0.6700371358172479,0.8073938837091041,0.34664938303576626,-0.01732455257090534,0.07626502813907494,0.6619718309859155,-0.19651747437371314,0.03479777203724761,0.21485435493928695,1.1073842844119257,1.032551006283455,0.9567893429759609,1.1030808487055441
